iso,epochMs,cpuSeconds,cpuPercent,workingSetBytes,privateBytes
2026-08-17T02:52:34.2384131Z,1786935154238,74.844,4.1,132128768,156430336
2026-08-17T02:52:35.2439096Z,1786935155243,75.781,4.66,156930048,178868224
2026-08-17T02:52:36.2555541Z,1786935156255,76.828,5.17,132075520,153300992
2026-08-17T02:52:37.2634406Z,1786935157263,77.781,4.73,151531520,173174784
2026-08-17T02:52:38.2683708Z,1786935158268,78.672,4.43,163475456,186519552
2026-08-17T02:52:39.2897230Z,1786935159289,79.438,3.75,158109696,181018624
2026-08-17T02:52:40.2997494Z,1786935160299,80.516,5.34,156995584,176193536
2026-08-17T02:52:41.3264190Z,1786935161326,81.438,4.49,158146560,177319936
2026-08-17T02:52:42.3335215Z,1786935162333,82.438,4.96,154902528,173993984
2026-08-17T02:52:43.3667798Z,1786935163366,83.359,4.46,152182784,173768704
2026-08-17T02:52:44.3785454Z,1786935164378,84.266,4.48,142569472,162058240
2026-08-17T02:52:45.4200866Z,1786935165420,85.234,4.65,172769280,188850176
2026-08-17T02:52:46.4431199Z,1786935166443,86.094,4.2,150302720,165736448
2026-08-17T02:52:47.4562379Z,1786935167456,87.344,6.17,154054656,169074688
2026-08-17T02:52:48.4746796Z,1786935168474,88.344,4.91,160550912,175955968
2026-08-17T02:52:49.4910293Z,1786935169491,89.422,5.3,151932928,167153664
2026-08-17T02:52:50.5228668Z,1786935170522,90.375,4.62,179720192,195715072
2026-08-17T02:52:51.5424808Z,1786935171542,91.234,4.21,145215488,161910784
2026-08-17T02:52:52.5586598Z,1786935172558,92.359,5.54,161222656,177201152
2026-08-17T02:52:53.5728024Z,1786935173572,93.172,4.01,162484224,178290688
2026-08-17T02:52:54.5890080Z,1786935174589,94.094,4.54,148209664,162852864
2026-08-17T02:52:55.6089678Z,1786935175608,94.953,4.21,147116032,161775616
2026-08-17T02:52:56.6337559Z,1786935176633,95.859,4.42,170811392,186007552
2026-08-17T02:52:57.6558813Z,1786935177655,96.812,4.66,163672064,178302976
2026-08-17T02:52:58.6714243Z,1786935178671,97.781,4.77,173404160,188223488
2026-08-17T02:52:59.6826396Z,1786935179682,98.562,3.86,157810688,239071232
2026-08-17T02:53:00.7073603Z,1786935180707,99.484,4.5,189579264,270749696
2026-08-17T02:53:01.7332687Z,1786935181733,100.438,4.65,235311104,299401216
2026-08-17T02:53:02.7550908Z,1786935182755,101.453,4.97,197287936,256303104
2026-08-17T02:53:03.7601641Z,1786935183760,102.391,4.66,179904512,237518848
2026-08-17T02:53:04.7820941Z,1786935184782,103.359,4.74,179912704,237518848
2026-08-17T02:53:05.7874417Z,1786935185787,104.359,4.97,218738688,277610496
2026-08-17T02:53:06.7999685Z,1786935186799,105.219,4.24,194125824,252133376
2026-08-17T02:53:07.8124801Z,1786935187812,106.281,5.25,242798592,299966464
2026-08-17T02:53:08.8297149Z,1786935188829,107.156,4.3,187101184,229302272
2026-08-17T02:53:09.8541921Z,1786935189854,108.219,5.19,240214016,281739264
2026-08-17T02:53:10.8747124Z,1786935190874,109.109,4.36,204365824,244903936
2026-08-17T02:53:11.8977734Z,1786935191897,110.125,4.96,248156160,290041856
2026-08-17T02:53:12.9111778Z,1786935192911,111.141,5.01,221077504,262148096
2026-08-17T02:53:13.9246891Z,1786935193924,112.297,5.7,232189952,273731584
2026-08-17T02:53:14.9345840Z,1786935194934,113.375,5.34,205807616,246390784
2026-08-17T02:53:15.9633064Z,1786935195963,114.375,4.86,225591296,267210752
