iso,epochMs,cpuSeconds,cpuPercent,workingSetBytes,privateBytes
2026-08-17T03:06:53.9731006Z,1786936013973,33.047,1.69,108744704,120639488
2026-08-17T03:06:54.9817779Z,1786936014981,33.328,1.39,104599552,116252672
2026-08-17T03:06:56.0091823Z,1786936016009,33.672,1.67,110563328,120651776
2026-08-17T03:06:57.0269797Z,1786936017026,33.953,1.38,110866432,120852480
2026-08-17T03:06:58.0513125Z,1786936018051,34.328,1.83,109797376,119726080
2026-08-17T03:06:59.0575614Z,1786936019057,34.594,1.32,121720832,131866624
2026-08-17T03:07:00.0733976Z,1786936020073,35.031,2.15,101601280,111235072
2026-08-17T03:07:01.0991147Z,1786936021099,35.297,1.29,116678656,126652416
2026-08-17T03:07:02.1168897Z,1786936022116,35.641,1.69,114528256,124456960
2026-08-17T03:07:03.1277498Z,1786936023127,36.109,2.32,116662272,126664704
2026-08-17T03:07:04.1435017Z,1786936024143,36.469,1.77,111280128,121131008
2026-08-17T03:07:05.1656714Z,1786936025165,36.969,2.45,115040256,157941760
2026-08-17T03:07:06.1826933Z,1786936026182,37.203,1.15,133726208,173846528
2026-08-17T03:07:07.2056609Z,1786936027205,37.578,1.83,124764160,156561408
2026-08-17T03:07:08.2233172Z,1786936028223,37.891,1.54,141996032,174198784
2026-08-17T03:07:09.2384279Z,1786936029238,38.266,1.85,133656576,165380096
2026-08-17T03:07:10.2541191Z,1786936030254,38.562,1.46,122593280,152158208
2026-08-17T03:07:11.2779256Z,1786936031277,38.938,1.83,124739584,154361856
2026-08-17T03:07:12.2875546Z,1786936032287,39.172,1.16,139821056,169783296
2026-08-17T03:07:13.3104680Z,1786936033310,39.5,1.6,129536000,152141824
2026-08-17T03:07:14.3249361Z,1786936034324,39.844,1.69,125341696,147730432
2026-08-17T03:07:15.3371059Z,1786936035337,40.125,1.39,137728000,160661504
2026-08-17T03:07:16.3448277Z,1786936036344,40.469,1.71,157753344,180297728
2026-08-17T03:07:17.3577339Z,1786936037357,40.844,1.85,144281600,166068224
2026-08-17T03:07:18.3734329Z,1786936038373,41.453,3,135966720,157679616
2026-08-17T03:07:19.3909092Z,1786936039390,42.516,5.22,236781568,255848448
2026-08-17T03:07:20.4188262Z,1786936040418,43.562,5.09,352337920,377057280
2026-08-17T03:07:21.4359534Z,1786936041435,44.609,5.15,256851968,273379328
2026-08-17T03:07:22.4503560Z,1786936042450,45.594,4.85,203395072,218685440
2026-08-17T03:07:23.4589178Z,1786936043458,46.391,3.95,156610560,168734720
2026-08-17T03:07:24.4735064Z,1786936044473,47.312,4.54,199946240,212373504
2026-08-17T03:07:25.4960688Z,1786936045496,48.234,4.51,243408896,257691648
2026-08-17T03:07:26.5095550Z,1786936046509,49.094,4.24,237453312,251539456
2026-08-17T03:07:27.5212313Z,1786936047521,50.016,4.56,271593472,286629888
2026-08-17T03:07:28.5397124Z,1786936048539,50.953,4.6,203649024,216682496
2026-08-17T03:07:29.5600541Z,1786936049560,52.094,5.59,246894592,260997120
2026-08-17T03:07:30.5788846Z,1786936050578,53.203,5.44,362733568,381063168
2026-08-17T03:07:31.5953303Z,1786936051595,54.109,4.46,254988288,270360576
2026-08-17T03:07:32.6093150Z,1786936052609,55.172,5.24,156684288,238010368
2026-08-17T03:07:33.6238719Z,1786936053623,56.188,5.01,161816576,247136256
2026-08-17T03:07:34.6397387Z,1786936054639,57.234,5.15,196304896,283152384
2026-08-17T03:07:35.6534470Z,1786936055653,58.25,5.01,353406976,429862912
2026-08-17T03:07:36.6669711Z,1786936056666,59.328,5.32,304885760,360800256
2026-08-17T03:07:37.6745535Z,1786936057674,60.266,4.65,283803648,333824000
2026-08-17T03:07:38.6913420Z,1786936058691,61.281,4.99,318160896,369213440
2026-08-17T03:07:39.7049298Z,1786936059704,62.328,5.16,277372928,327286784
2026-08-17T03:07:40.7195848Z,1786936060719,63.406,5.31,368353280,422293504
2026-08-17T03:07:41.7825280Z,1786936061782,64.484,5.07,338653184,387473408
2026-08-17T03:07:42.7986363Z,1786936062798,65.453,4.77,287444992,329940992
2026-08-17T03:07:43.8125333Z,1786936063812,66.562,5.47,302637056,345317376
2026-08-17T03:07:44.8229446Z,1786936064822,67.484,4.56,314445824,357494784
2026-08-17T03:07:45.8374585Z,1786936065837,68.5,5.01,355954688,401580032
2026-08-17T03:07:46.8755512Z,1786936066875,69.562,5.12,294936576,330625024
2026-08-17T03:07:47.8811605Z,1786936067881,70.516,4.74,271085568,311377920
2026-08-17T03:07:48.9012775Z,1786936068901,71.516,4.9,308326400,349892608
2026-08-17T03:07:49.9177319Z,1786936069917,72.453,4.61,317960192,356536320
2026-08-17T03:07:50.9429639Z,1786936070942,73.453,4.88,290971648,318337024
2026-08-17T03:07:51.9513924Z,1786936071951,74.5,5.19,415186944,447336448
2026-08-17T03:07:52.9645476Z,1786936072964,75.547,5.17,310743040,338632704
