iso,epochMs,cpuSeconds,cpuPercent,workingSetBytes,privateBytes
2026-08-17T02:48:08.0235507Z,1786934888023,63.781,4.25,124497920,169779200
2026-08-17T02:48:09.0376677Z,1786934889037,64.422,3.16,118480896,163598336
2026-08-17T02:48:10.0544361Z,1786934890054,65.156,3.61,118456320,163635200
2026-08-17T02:48:11.0693603Z,1786934891069,66.109,4.7,120299520,161607680
2026-08-17T02:48:12.0959690Z,1786934892095,66.953,4.11,125386752,166551552
2026-08-17T02:48:13.1143234Z,1786934893114,67.578,3.07,119025664,160022528
2026-08-17T02:48:14.1410487Z,1786934894141,68.266,3.35,115884032,154849280
2026-08-17T02:48:15.1561757Z,1786934895156,69.125,4.23,119140352,158707712
2026-08-17T02:48:16.1740580Z,1786934896174,69.828,3.45,123510784,163127296
2026-08-17T02:48:17.1867990Z,1786934897186,70.578,3.7,118226944,154337280
2026-08-17T02:48:18.2023270Z,1786934898202,71.203,3.08,120078336,156008448
2026-08-17T02:48:19.2208892Z,1786934899220,72.109,4.45,112336896,151027712
2026-08-17T02:48:20.2366265Z,1786934900236,72.781,3.31,112656384,148578304
2026-08-17T02:48:21.2586425Z,1786934901258,73.766,4.82,117338112,153346048
2026-08-17T02:48:22.2841328Z,1786934902284,74.391,3.05,134569984,170975232
2026-08-17T02:48:23.3094589Z,1786934903309,75.219,4.04,127983616,157757440
2026-08-17T02:48:24.3248444Z,1786934904324,75.891,3.31,147034112,177594368
2026-08-17T02:48:25.3584758Z,1786934905358,76.703,3.93,132034560,162156544
2026-08-17T02:48:26.3803125Z,1786934906380,77.484,3.82,151724032,181989376
2026-08-17T02:48:27.3940140Z,1786934907394,78.266,3.85,136654848,166567936
2026-08-17T02:48:28.4101554Z,1786934908410,79.203,4.61,143056896,173182976
2026-08-17T02:48:29.4327344Z,1786934909432,80.016,3.97,138805248,168771584
2026-08-17T02:48:30.4524730Z,1786934910452,80.734,3.52,130236416,157757440
2026-08-17T02:48:31.4661816Z,1786934911466,81.609,4.32,139964416,167510016
2026-08-17T02:48:32.4776491Z,1786934912477,82.438,4.09,145457152,174067712
2026-08-17T02:48:33.4984748Z,1786934913498,83.047,2.98,132173824,160059392
2026-08-17T02:48:34.5091102Z,1786934914509,83.891,4.17,161857536,187338752
2026-08-17T02:48:35.5196118Z,1786934915519,84.625,3.63,147001344,171839488
2026-08-17T02:48:36.5320622Z,1786934916532,85.516,4.4,139485184,164122624
2026-08-17T02:48:37.5460686Z,1786934917546,86.359,4.16,125444096,151064576
